Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-01-04,20.4406,20.509,19.979,20.3787,2908166.9270956
2016-01-05,20.5171,20.5171,19.8335,20.1093,2091840.9827951
2016-01-07,19.4024,19.9251,19.3187,19.7416,3557206.6664611
2016-01-08,19.7481,19.8173,19.1336,19.2494,6003306.1282388
2016-01-11,19.2109,19.2873,18.3198,18.3655,5590657.1245494
2016-01-12,18.5265,19.0807,18.4806,19.0573,3717157.065941
2016-01-13,19.0879,19.2648,18.9117,19.1875,5043695.7397663
2016-01-14,18.9648,19.2109,18.6342,19.2109,5443395.1817927
2016-01-15,19.0492,19.2037,18.3503,18.4115,5647898.7875206
2016-01-18,18.0584,18.1572,17.2896,17.3892,5929679.5086095
2016-01-19,17.6739,18.0045,17.2975,17.2975,4129802.3395599
2016-01-20,17.2814,17.8509,16.8519,17.5356,5196516.7310297
2016-01-21,17.7279,17.9426,17.3353,17.7503,3957865.9799807
2016-01-22,17.9812,18.5192,17.7663,18.3576,2947720.5954225
2016-01-25,18.389,18.4886,17.8509,17.9659,2268853.9684203
2016-01-26,17.7045,18.1114,17.5661,17.7503,2498352.7770395
2016-01-27,17.5967,18.0889,17.5356,18.0584,2344118.0890301
2016-01-28,18.0817,18.8642,18.0584,18.6262,5282666.4409204
2016-01-29,18.8265,18.9414,18.4652,18.9414,5007627.2007089
2016-02-01,18.9648,19.0879,18.6423,19.0879,2015829.6047146
2016-02-02,19.0347,19.0347,17.9506,17.9506,4183204.5165573
2016-02-03,18.0424,18.3422,17.7736,17.9586,2236204.6607189
2016-02-04,18.3037,18.6423,18.1508,18.6423,3452639.1114514
2016-02-05,18.6423,18.8642,18.3962,18.5658,1702738.6712589
2016-02-08,18.5658,18.6262,18.0657,18.2883,1887942.8918564
2016-02-09,18.1042,18.2578,17.7896,18.212,2432679.9112228
2016-02-10,18.2192,18.5804,18.1275,18.2274,2646440.3087493
2016-02-11,18.2804,18.6342,17.9739,18.4348,2516120.3465226
2016-02-12,18.3278,19.1103,18.3037,18.9342,4348781.1058141
2016-02-15,19.1498,19.3564,18.9576,19.2648,2076479.30883
2016-02-16,19.3492,19.3492,18.8498,19.0412,2180186.4608948
2016-02-17,19.0347,19.7256,18.9729,19.7256,7042817.1150398
2016-02-18,19.6026,20.102,19.4103,19.6566,4000171.1970318
2016-02-19,19.4563,19.5101,19.1031,19.2954,2641225.6700921
2016-02-22,19.4417,19.8253,19.4417,19.4417,2118708.6811128
2016-02-23,19.2182,19.5873,19.1184,19.1875,2475650.3241922
2016-02-24,19.2109,19.3107,18.6117,18.6808,4685090.4852126
2016-02-25,18.8265,19.0645,18.6342,19.0645,2235830.410305
2016-02-26,19.2109,19.2873,18.9801,19.1031,2292083.6045751
2016-02-29,18.9576,19.0492,18.5498,18.7726,4267724.1856088
2016-03-01,18.8957,19.0959,18.6197,19.0959,2442021.2512875
2016-03-02,19.1722,19.3492,18.8498,19.3107,2033597.1741975
2016-03-03,19.2873,19.6645,19.1417,19.6645,3227863.8155309
2016-03-04,19.6717,19.9404,19.4795,19.8173,1731769.8105073
2016-03-07,19.8173,19.979,19.4876,19.979,2089045.9165812
2016-03-08,19.7796,20.0481,19.6943,19.7256,1698163.1180261
2016-03-09,19.8568,20.0401,19.5953,20.0401,1955089.1355484
2016-03-10,20.0401,20.4785,19.8945,20.2863,2886676.7471835
2016-03-11,20.3787,21.2474,20.3482,21.0012,3550080.9883151
2016-03-14,21.0551,21.3543,20.7245,20.924,2771880.0953133
2016-03-15,20.7937,20.9473,20.6249,20.8701,1496555.2904175
2016-03-16,20.9393,21.3318,20.509,20.7245,2883676.5270881
2016-03-17,20.809,21.0092,20.3715,20.9015,3369142.7250931
2016-03-18,20.747,21.0856,20.6015,21.0623,5404967.9947779
2016-03-21,20.7937,21.0623,20.5242,20.8396,2150671.6558292
2016-03-22,20.5782,20.8323,20.4253,20.8323,3080452.6699514
2016-03-23,20.763,20.932,20.0867,20.2324,2583760.2028867
2016-03-24,20.2403,20.2403,19.7949,20.1712,2312004.6681339
2016-03-29,20.1945,20.5018,19.9943,20.2324,1827807.9374797
2016-03-30,20.4785,21.039,20.3023,21.039,2334202.3180975
2016-03-31,21.0472,21.3623,20.7174,21.3623,3935424.6320732
2016-04-01,21.2087,21.2393,20.809,21.0705,2216509.8881079
2016-04-04,20.9168,21.1702,20.9095,21.0938,1463525.5155179
2016-04-05,20.8629,21.0245,20.3256,20.3256,2004472.7831849
2016-04-06,20.509,20.6634,20.0867,20.2557,1582565.7443402
2016-04-07,20.4173,20.6249,19.9484,20.1865,2927044.8142516
2016-04-08,20.3482,20.6634,19.8406,20.6634,2698891.3177513
2016-04-11,20.5171,20.7092,20.1793,20.2098,1208208.4017683
2016-04-12,20.2098,20.3023,19.6107,19.8639,2913422.596529
2016-04-13,20.0561,20.2557,19.9404,20.1865,3389771.2587034
2016-04-14,20.0634,20.3175,19.9861,20.2324,2542302.9552121
2016-04-15,20.2717,20.4785,19.8639,20.0176,2607617.734254
2016-04-18,19.9404,20.102,19.8406,20.0257,1757976.0429771
2016-04-19,19.979,20.3256,19.9484,20.1945,2168467.8225199
2016-04-20,20.2863,20.2863,19.6645,19.7876,4694355.9805091
2016-04-21,19.8639,19.8945,19.3107,19.4417,3512820.0700319
2016-04-22,19.3564,19.6259,19.1803,19.6259,1906386.8474694
2016-04-25,19.7023,19.7023,19.2567,19.3645,1749804.7017144
2016-04-26,19.3267,19.3645,18.9037,19.0492,2758201.9265322
2016-04-27,18.9873,19.1336,18.6729,18.7348,2849936.7954233
2016-04-28,18.6729,18.8804,18.4652,18.6808,3830649.4364685
2016-04-29,18.7267,18.8111,18.4573,18.7959,2991851.0603392
2016-05-02,18.7494,18.9037,18.6656,18.7726,1235674.1547339
2016-05-04,18.5964,18.7114,18.5265,18.6342,5001994.7941478
2016-05-05,18.6117,18.6881,18.3422,18.4115,1945868.4010987
2016-05-06,18.5658,19.1875,18.4115,18.9729,6564494.0021769
2016-05-09,19.1265,19.1265,18.5192,18.6656,1943612.9517606
2016-05-10,18.5578,18.6881,17.9426,18.0198,3622840.9882153
2016-05-11,18.1114,18.1348,17.7584,17.9273,2484379.9326834
2016-05-12,17.9426,18.3576,17.7663,17.7896,1606652.0533692
2016-05-13,17.7896,18.2426,17.7358,18.1195,2118922.5384921
2016-05-16,18.4886,18.8724,18.3343,18.7114,2579069.0174661
2016-05-17,18.8957,18.8957,18.5039,18.6037,2401663.1310743
2016-05-18,18.5265,18.7267,18.389,18.4652,2196182.2468569
2016-05-19,18.4429,18.4886,17.9128,17.9273,1621978.9133424
2016-05-20,17.9812,18.2804,17.6892,18.0657,2174800.2389914
2016-05-23,18.0198,18.7806,18.0045,18.6037,3669071.482863
2016-05-24,18.5498,18.9342,18.5039,18.8265,2683023.5975455
2016-05-25,18.9037,19.1955,18.8265,19.0034,2471129.478661
2016-05-27,18.9262,19.1498,18.7806,19.0573,4273781.8202149
2016-05-30,19.0573,19.3034,18.9729,19.1642,690442.27933854
2016-05-31,19.2182,19.3187,19.0267,19.0267,6478724.7594844
2016-06-01,18.9801,18.9801,18.2578,18.4429,2929103.8132063
2016-06-02,18.4267,18.7114,18.1887,18.45,1723414.4524298
2016-06-03,18.2507,18.5964,17.9506,18.4195,8862151.5755407
2016-06-06,18.4429,18.7348,18.2578,18.4115,2394360.8962546
2016-06-07,18.4267,19.0187,18.4267,18.7114,3739005.3326279
2016-06-08,18.6729,18.9496,18.2274,18.7573,4102447.2453545
2016-06-09,18.7494,18.8032,18.4267,18.4806,3901559.3213659
2016-06-10,18.45,18.4886,17.9812,18.0424,1948085.3063744
2016-06-13,17.8654,18.3503,17.7896,18.0584,1329785.0785783
2016-06-14,18.0584,18.2659,17.8734,18.2507,4283491.1939092
2016-06-15,18.3737,18.5964,18.1735,18.4429,2805541.4954961
2016-06-16,18.2883,18.4429,17.9586,18.212,5598149.5929683
2016-06-17,18.2426,18.4348,18.212,18.2965,3986136.1848327
2016-06-20,18.4429,18.7806,18.3737,18.5964,1009005.2263206
